Population,Sample_ID_old,Sample_ID,Pop_Plant,Flower_ID,Type,Date,M.Corolla_D1,M.Corolla_D2,M.Tube_Flare,M.Stamen_Length,M.Style_Length,M.Hypanthium_Length,M.Pedicel_Length,M.Leaf_Number,M.Leaf_Length,M.Nectar_Column,M.Percent_Sugar,Fresh_Mass,Dry_Mass
Inyo,rm1-20,Samp.rm1-20-D,rm1-20,4,No,24-Jun-09,86.17,85.65,8.67,31.30,45.91,142.75,11.39,,,141,29.0,2.13,0.26
Inyo,rm1-21,Samp.rm1-21-A,rm1-21,1,Yes,24-Jun-09,83.15,82.14,6.33,31.18,25.62,130.19,15.71,,,52,27.5,2.13,0.19
Inyo,rm1-21,Samp.rm1-21-B,rm1-21,2,No,28-Jun-09,91.73,94.89,8.26,24.83,32.86,125.79,5.62,,,60,27.0,2.55,0.24
Inyo,rm1-22,Samp.rm1-22-A,rm1-22,1,Yes,9-Jun-09,106.04,104.06,9.91,35.55,43.85,136.89,8.37,26,297.64,2,,3.00,0.35
Inyo,rm1-22,Samp.rm1-22-B,rm1-22,2,No,11-Jun-09,110.03,111.70,10.81,27.05,46.24,163.00,7.00,24,326.00,95,34.0,3.36,0.42
Inyo,rm1-24,Samp.rm1-24-A,rm1-24,1,Yes,16-Jun-09,83.66,82.62,8.90,29.91,30.58,109.03,12.56,,,86,25.0,1.85,0.17
Inyo,rm1-24,Samp.rm1-24-B,rm1-24,2,No,17-Jun-09,78.84,79.95,8.04,28.60,33.23,99.01,14.07,22,282.00,77,18.0,1.82,0.23
Inyo,rm1-31,Samp.rm1-31-A,rm1-31,1,Yes,8-Jun-09,88.18,90.17,8.87,26.63,35.53,116.72,6.48,19,271.40,11,24.0,2.39,0.23
Inyo,rm1-31,Samp.rm1-31-B,rm1-31,2,No,11-Jun-09,97.64,97.50,8.98,41.46,33.62,159.00,8.00,24,370.00,53,26.0,2.49,0.28
Zion,rm5-7,Samp.rm5-7-A,rm5-7,1,Yes,24-Jun-09,100.33,97.20,8.37,40.42,45.40,128.88,15.57,,,89,30.0,2.48,0.19
Zion,rm5-8,Samp.rm5-8-A,rm5-8,1,Yes,1-Jul-09,100.82,98.70,12.90,38.44,42.44,137.68,32.93,26,154.30,,,3.05,0.29
Zion,rm5-12,Samp.rm5-12-A,rm5-12,1,Yes,24-Jun-09,95.43,95.38,9.77,35.21,34.63,128.81,23.43,,,100,24.0,3.20,0.27
Zion,rm5-16,Samp.rm5-16-A,rm5-16,1,Yes,25-Jun-09,108.44,108.31,11.36,34.12,40.19,106.05,3.06,,,202,26.0,3.63,0.33
Zion,rm5-16,Samp.rm5-16-B,rm5-16,2,No,28-Jun-09,104.76,101.90,11.38,36.73,38.00,113.44,9.72,,,69,27.0,3.50,0.37
Zion,rm5-17,Samp.rm5-17-A,rm5-17,1,Yes,25-Jun-09,111.42,111.07,10.31,39.94,37.47,112.85,33.91,,,28,21.0,3.70,0.31
Zion,rm5-23,Samp.rm5-23-A,rm5-23,1,Yes,22-Jun-09,101.09,101.26,10.74,40.80,39.58,129.14,18.19,20,215.00,5,35.0,3.80,0.33
Zion,rm5-23,Samp.rm5-23-B,rm5-23,2,No,28-Jun-09,103.93,101.49,9.62,35.98,34.46,114.85,10.97,,,98,29.0,3.61,0.39
Zion,rm5-24,Samp.rm5-24-A,rm5-24,1,No,21-Jul-09,98.85,100.27,10.53,37.92,40.65,110.55,7.65,34,220.13,,,3.01,0.39
Zion,rm5-24,Samp.rm5-24-B,rm5-24,2,Yes,25-Jun-09,91.08,88.50,8.60,43.21,39.10,127.36,30.99,,,79,26.0,3.15,0.23
Zion,rm5-27,Samp.rm5-27-A,rm5-27,1,Yes,28-Jun-09,11.43,110.73,11.30,37.93,41.65,119.37,10.20,,,97,30.5,4.39,0.41
Zion,rm5-29,Samp.rm5-29-A,rm5-29,1,Yes,23-Jun-09,95.87,91.46,9.00,34.91,40.80,135.87,15.26,,,,,2.86,0.27
Zion,rm5-29,Samp.rm5-29-B,rm5-29,2,No,24-Jun-09,95.61,92.97,9.76,35.72,40.21,132.67,19.16,,,43,32.0,3.07,0.30
Arizona,rm2-1,Samp.rm2-1-A,rm2-1,1,Yes,25-Jun-09,78.82,76.85,8.64,26.09,25.12,137.82,6.82,,,26,22.5,2.10,0.19
Arizona,rm2-3,Samp.rm2-3-A,rm2-3,1,Yes,25-Jun-09,86.07,83.08,8.26,18.94,15.20,133.70,24.00,,,30.5,17.0,2.83,0.23
